('l-1cva9rA8_ugLrtSdKAqA', 'cyuDrrG5eEK-TZI867MUPA'),4234.0
('0FVcoJko1kfZCrJRfssfIA', 'KtE55izPs1ubJn3ofF2IrA'),71.67256077256083
('7RCz4Ln_FaTvNrdwe251Dg', 'bSUS0YcvS7UelmHvCzNWBA'),70.22698412698425
('0FVcoJko1kfZCrJRfssfIA', '2quguRdKBzul3GpRi9e1mA'),69.58401287727669
('bSUS0YcvS7UelmHvCzNWBA', 'R4l3ONHzGBakKKNo4TN9iQ'),69.41666666666664
('tRZAC_H5RHrjvyvtufcNXQ', 'bSUS0YcvS7UelmHvCzNWBA'),67.49999999999987
('_VTEyUzzH92X3w-IpGaXVA', '7RCz4Ln_FaTvNrdwe251Dg'),67.22698412698425
('_VTEyUzzH92X3w-IpGaXVA', 'cm3_8c_NDhPcpwJQ96Aixw'),66.16666666666663
('sBqCpEUn0qYdpSF4DbWlAQ', '0FVcoJko1kfZCrJRfssfIA'),65.88401287727662
('0FVcoJko1kfZCrJRfssfIA', '1KQi8Ymatd4ySAd4fhSfaw'),62.95
('ay4M5J28kBUf0odOQct0BA', 'zBi_JWB5uUdVuz3JLoAxGQ'),60.893486163902125
('bSUS0YcvS7UelmHvCzNWBA', 'hqmnMdDS-Opjp3BfBJA8qA'),60.860845295055825
('kwIhn1_cnQeUaLN0CuWWHw', 'hilL60vuuh06sMxs6Ckkog'),60.785714285714285
('dW6bAWM1HbPdk_cGS_a2HA', '0FVcoJko1kfZCrJRfssfIA'),57.35264297106414
('UwV6jBuTR1S9acT6bPTBPw', 'e5kg9bLvlJz-MEUrGjIeVQ'),56.98333333333333
('y6jsaAXFstAJkf53R4_y4Q', 'LcCRMIDz1JgshpPGYfLDcA'),55.254773004773
('bJguBxPlnTW29tRTAF0nkQ', 'bSUS0YcvS7UelmHvCzNWBA'),54.024860646599755
('39FT2Ui8KUXwmUt6hnwy-g', 'dTeSvET2SR5LDF_J07wJAQ'),53.517570324578685
('bJguBxPlnTW29tRTAF0nkQ', '_VTEyUzzH92X3w-IpGaXVA'),53.024860646599755
('0FVcoJko1kfZCrJRfssfIA', 'qtOCfMTrozmUSHWIcohc6Q'),52.11666666666669
('39FT2Ui8KUXwmUt6hnwy-g', '_Pn-EmWO-pFPFg81ZIEiDw'),51.055952380952384
('ay4M5J28kBUf0odOQct0BA', 'dTeSvET2SR5LDF_J07wJAQ'),50.372607043023024
('bSUS0YcvS7UelmHvCzNWBA', '2quguRdKBzul3GpRi9e1mA'),48.742724500883895
('_VTEyUzzH92X3w-IpGaXVA', 'bHufZ2OTlC-OUxBDRXxViw'),45.44999999999996
('bSUS0YcvS7UelmHvCzNWBA', 'bHufZ2OTlC-OUxBDRXxViw'),45.44999999999996
('7RCz4Ln_FaTvNrdwe251Dg', 'dTeSvET2SR5LDF_J07wJAQ'),45.206349206349195
('bSUS0YcvS7UelmHvCzNWBA', 'KtE55izPs1ubJn3ofF2IrA'),44.78784548784543
('_VTEyUzzH92X3w-IpGaXVA', 'KtE55izPs1ubJn3ofF2IrA'),43.12117882117876
('0FVcoJko1kfZCrJRfssfIA', 'tL2pS5UOmN6aAOi3Z-qFGg'),42.840476190476174
('ay4M5J28kBUf0odOQct0BA', 'y6jsaAXFstAJkf53R4_y4Q'),42.62178797904604
('_VTEyUzzH92X3w-IpGaXVA', '2quguRdKBzul3GpRi9e1mA'),42.48716894532832
('0FVcoJko1kfZCrJRfssfIA', '_Pn-EmWO-pFPFg81ZIEiDw'),41.953571428571436
('bE7Yd0jI_P6g27MWEKKalA', '7RCz4Ln_FaTvNrdwe251Dg'),41.11904761904758
('e8uzNcSC5tQMD22GNAQEQA', 'zBi_JWB5uUdVuz3JLoAxGQ'),40.78571428571427
('0FVcoJko1kfZCrJRfssfIA', 'y6jsaAXFstAJkf53R4_y4Q'),40.74523809523805
('0FVcoJko1kfZCrJRfssfIA', '4pc_EyanaC3ARh0MZZyouA'),40.700865800865806
('ZA1OT-PIZwz2kdHDA6mShw', 'MtdSCXtmrSxj_uZOJ5ZycQ'),39.025430125430134
('sBqCpEUn0qYdpSF4DbWlAQ', 'bSUS0YcvS7UelmHvCzNWBA'),38.65383561199506
('_VTEyUzzH92X3w-IpGaXVA', 'sBqCpEUn0qYdpSF4DbWlAQ'),37.82050227866174
('1KQi8Ymatd4ySAd4fhSfaw', 'bSUS0YcvS7UelmHvCzNWBA'),35.94999999999999
('bE7Yd0jI_P6g27MWEKKalA', 'hqmnMdDS-Opjp3BfBJA8qA'),35.59577352472087
('_Pn-EmWO-pFPFg81ZIEiDw', 'KLB3wIYUwKDPMbijIE92vg'),35.4595238095238
('0FVcoJko1kfZCrJRfssfIA', 'zBi_JWB5uUdVuz3JLoAxGQ'),34.75515873015881
('MtdSCXtmrSxj_uZOJ5ZycQ', 'jcriwcTidug0fK8sgAloHA'),34.32543012543012
('dW6bAWM1HbPdk_cGS_a2HA', 'bSUS0YcvS7UelmHvCzNWBA'),32.513755980861205
('0FVcoJko1kfZCrJRfssfIA', 'dTeSvET2SR5LDF_J07wJAQ'),31.55476190476191
('_VTEyUzzH92X3w-IpGaXVA', 'dW6bAWM1HbPdk_cGS_a2HA'),31.307046024151248
('bSUS0YcvS7UelmHvCzNWBA', 'WoKCLSctS7G2547xKcED-Q'),31.304761904761918
('_VTEyUzzH92X3w-IpGaXVA', 'WoKCLSctS7G2547xKcED-Q'),31.304761904761914
('7RCz4Ln_FaTvNrdwe251Dg', 'zBi_JWB5uUdVuz3JLoAxGQ'),31.239682539682516
('SVC0CajvmYfH5uAq4JnGvg', 'cyuDrrG5eEK-TZI867MUPA'),29.0
('ZZvfGGLnAkSBSUduV7KN-w', 'cyuDrrG5eEK-TZI867MUPA'),29.0
('qtOCfMTrozmUSHWIcohc6Q', 'bSUS0YcvS7UelmHvCzNWBA'),27.94999999999999
('_VTEyUzzH92X3w-IpGaXVA', 'qtOCfMTrozmUSHWIcohc6Q'),27.61666666666666
('pDNeS1nbkKS7mJmhRQJPig', 'SX_SMrddkDU5dySbsZMu9A'),27.0
('tRZAC_H5RHrjvyvtufcNXQ', 'zBi_JWB5uUdVuz3JLoAxGQ'),26.738095238095266
('bE7Yd0jI_P6g27MWEKKalA', 'KtE55izPs1ubJn3ofF2IrA'),26.685081585081598
('cm3_8c_NDhPcpwJQ96Aixw', 'zBi_JWB5uUdVuz3JLoAxGQ'),26.40476190476192
('tekHDsd0fskYG3tqu4sHQw', 'IuaAfrkirlfzY3f4PkgSmw'),25.533333333333328
('sBqCpEUn0qYdpSF4DbWlAQ', 'dTeSvET2SR5LDF_J07wJAQ'),24.79865834671342
('tekHDsd0fskYG3tqu4sHQw', 'e5kg9bLvlJz-MEUrGjIeVQ'),24.066666666666663
('39FT2Ui8KUXwmUt6hnwy-g', 'OoyQYSeYNyRVOmdO3tsxYA'),22.941666666666666
('y6jsaAXFstAJkf53R4_y4Q', 'bSUS0YcvS7UelmHvCzNWBA'),22.300793650793683
('bSUS0YcvS7UelmHvCzNWBA', '4pc_EyanaC3ARh0MZZyouA'),22.256421356421367
('sBqCpEUn0qYdpSF4DbWlAQ', 'bE7Yd0jI_P6g27MWEKKalA'),21.84299088535338
('_VTEyUzzH92X3w-IpGaXVA', 'bSUS0YcvS7UelmHvCzNWBA'),21.38217893217893
('m1IVpXClMox1VGw5hO2LhQ', 'e5kg9bLvlJz-MEUrGjIeVQ'),21.0
('5fQ9P6kbQM_E0dx8DL6JWA', 'dzJDCQ5vubQBJTfYTEmcbg'),20.91405587876178
('zBi_JWB5uUdVuz3JLoAxGQ', 'bSUS0YcvS7UelmHvCzNWBA'),20.70357142857146
('dW6bAWM1HbPdk_cGS_a2HA', 'dTeSvET2SR5LDF_J07wJAQ'),20.624868990658435
('bE7Yd0jI_P6g27MWEKKalA', 'zBi_JWB5uUdVuz3JLoAxGQ'),20.33849206349208
('bE7Yd0jI_P6g27MWEKKalA', 'bSUS0YcvS7UelmHvCzNWBA'),20.190476190476186
('dW6bAWM1HbPdk_cGS_a2HA', 'bE7Yd0jI_P6g27MWEKKalA'),18.871696286169964
('bSUS0YcvS7UelmHvCzNWBA', '_Pn-EmWO-pFPFg81ZIEiDw'),18.453571428571436
('_VTEyUzzH92X3w-IpGaXVA', 'bE7Yd0jI_P6g27MWEKKalA'),18.22380952380952
('tL2pS5UOmN6aAOi3Z-qFGg', 'bSUS0YcvS7UelmHvCzNWBA'),18.090476190476195
('bE7Yd0jI_P6g27MWEKKalA', '_Pn-EmWO-pFPFg81ZIEiDw'),17.64404761904762
('y6jsaAXFstAJkf53R4_y4Q', 'bE7Yd0jI_P6g27MWEKKalA'),17.4357142857143
('_VTEyUzzH92X3w-IpGaXVA', 'tL2pS5UOmN6aAOi3Z-qFGg'),17.423809523809528
('zBi_JWB5uUdVuz3JLoAxGQ', '4pc_EyanaC3ARh0MZZyouA'),17.264357864357873
('_VTEyUzzH92X3w-IpGaXVA', '_Pn-EmWO-pFPFg81ZIEiDw'),17.1202380952381
('ay4M5J28kBUf0odOQct0BA', '_Pn-EmWO-pFPFg81ZIEiDw'),16.426190476190474
('_VTEyUzzH92X3w-IpGaXVA', 'y6jsaAXFstAJkf53R4_y4Q'),16.288528138528136
('pDNeS1nbkKS7mJmhRQJPig', 'YA-caxALI4C-eCiSM97new'),16.249999999999993
('zBi_JWB5uUdVuz3JLoAxGQ', '2quguRdKBzul3GpRi9e1mA'),16.07365834671337
('dW6bAWM1HbPdk_cGS_a2HA', '4pc_EyanaC3ARh0MZZyouA'),15.358367509683328
('y6jsaAXFstAJkf53R4_y4Q', '4pc_EyanaC3ARh0MZZyouA'),15.029437229437217
('tekHDsd0fskYG3tqu4sHQw', 'm1IVpXClMox1VGw5hO2LhQ'),15.0
('B7IvZ26ZUdL2jGbYsFVGxQ', 'pDNeS1nbkKS7mJmhRQJPig'),14.749999999999996
('dW6bAWM1HbPdk_cGS_a2HA', 'zBi_JWB5uUdVuz3JLoAxGQ'),14.724868990658464
('_VTEyUzzH92X3w-IpGaXVA', 'zBi_JWB5uUdVuz3JLoAxGQ'),14.524639249639238
('bE7Yd0jI_P6g27MWEKKalA', 'WoKCLSctS7G2547xKcED-Q'),14.520238095238092
('Gua5GdTlTWJpovtG7Hdtyg', 'pDNeS1nbkKS7mJmhRQJPig'),14.499999999999995
('y6jsaAXFstAJkf53R4_y4Q', 'dTeSvET2SR5LDF_J07wJAQ'),14.316666666666658
('pDNeS1nbkKS7mJmhRQJPig', 'jnn504CkjtfbYIwBquWmBw'),13.749999999999995
('QvLg2kxqHHahxxOlHlEIZw', 'jnn504CkjtfbYIwBquWmBw'),13.249999999999996
('A-U-K9z9oraMH7eBZW1dOA', 'ZZvfGGLnAkSBSUduV7KN-w'),13.0
('SVC0CajvmYfH5uAq4JnGvg', 'A-U-K9z9oraMH7eBZW1dOA'),13.0
('QvLg2kxqHHahxxOlHlEIZw', 'YA-caxALI4C-eCiSM97new'),12.749999999999996
('QvLg2kxqHHahxxOlHlEIZw', 'B7IvZ26ZUdL2jGbYsFVGxQ'),12.249999999999996
('Gua5GdTlTWJpovtG7Hdtyg', 'QvLg2kxqHHahxxOlHlEIZw'),11.999999999999996
('zBi_JWB5uUdVuz3JLoAxGQ', 'dTeSvET2SR5LDF_J07wJAQ'),11.642063492063478
('LcCRMIDz1JgshpPGYfLDcA', '2quguRdKBzul3GpRi9e1mA'),9.922222222222222
('5DgFmyjW6hkBtXtTMKl4tA', 'ajxohdcsKhRGFlEvHZDyTw'),9.166666666666666
('bSUS0YcvS7UelmHvCzNWBA', 'dTeSvET2SR5LDF_J07wJAQ'),9.054761904761902
('y6jsaAXFstAJkf53R4_y4Q', '2quguRdKBzul3GpRi9e1mA'),9.03465755201998
('9S52XHEyrvOv4OZxU6pCLw', 'JqjAthJThuVYgTh4iWDZ2A'),8.833333333333334
('ZA1OT-PIZwz2kdHDA6mShw', 'IuaAfrkirlfzY3f4PkgSmw'),8.799999999999999
('_VTEyUzzH92X3w-IpGaXVA', 'dTeSvET2SR5LDF_J07wJAQ'),7.97142857142857
('A-U-K9z9oraMH7eBZW1dOA', 'cyuDrrG5eEK-TZI867MUPA'),7.750000000000001
('bE7Yd0jI_P6g27MWEKKalA', 'tL2pS5UOmN6aAOi3Z-qFGg'),6.728571428571429
('bE7Yd0jI_P6g27MWEKKalA', 'dTeSvET2SR5LDF_J07wJAQ'),5.8428571428571425
('y6jsaAXFstAJkf53R4_y4Q', '_Pn-EmWO-pFPFg81ZIEiDw'),4.851190476190475
('y6jsaAXFstAJkf53R4_y4Q', 'zBi_JWB5uUdVuz3JLoAxGQ'),4.101190476190475
('7G8w2SnaC-qDVQ7_GqTxMg', 'ajxohdcsKhRGFlEvHZDyTw'),4.0
('Cf0chERnfd06ltnN45xLNQ', 'CyrRjt_7iJ8_lSHeH1_TlA'),4.0
('Cf0chERnfd06ltnN45xLNQ', 'lL-wNa0TKK6LXrlcVmjYrQ'),4.0
('JhFK9D3LYl23Se3x4oPUxA', 'Cf0chERnfd06ltnN45xLNQ'),4.0
('ZW-XoteNlRuuK-19q1spmw', 'Cf0chERnfd06ltnN45xLNQ'),4.0
('_6Zg4ukwS0kst9UtkfVw3w', 'lJFBgSAccsMGwIjfD7LMeQ'),4.0
('QvLg2kxqHHahxxOlHlEIZw', 'pDNeS1nbkKS7mJmhRQJPig'),3.5
('2quguRdKBzul3GpRi9e1mA', 'KtE55izPs1ubJn3ofF2IrA'),3.4
('oegRUjhGbP62M18WyAL6pQ', 'wXdrUQg4-VkSZH1FG4Byzw'),3.3333333333333335
('NUtVG7jNPLJR2cxMXMH2-A', 'ajxohdcsKhRGFlEvHZDyTw'),3.333333333333333
('DPtOaWemjBPvFiZJBi0m8A', 'cIbbfJEGLB3B-c8Po4AL5g'),3.166666666666666
('CLbpPUqP6XpeAfoqScGaJQ', 'tX0r-C9BaHYEolRUfufTsQ'),3.0
('Gr-MqCunME2K_KmsAwjpTA', 'lJFBgSAccsMGwIjfD7LMeQ'),3.0
('_6Zg4ukwS0kst9UtkfVw3w', 'QRsuZ_LqrRU65dTs5CL4Lw'),3.0
('tX0r-C9BaHYEolRUfufTsQ', 'drTMOo4p8nL0pnMNEyat2A'),3.0
('tX0r-C9BaHYEolRUfufTsQ', 'xhlcoVm3FOKcxZ0phkdO6Q'),3.0
('97j2wkFU46OOgm6ErRAb7w', 'EiwxlbR8fb68lMgEXhcWKA'),2.5
('SdXxLZQQnQNUEL1rGMOQ6w', 'EiwxlbR8fb68lMgEXhcWKA'),2.5
('Gua5GdTlTWJpovtG7Hdtyg', 'jnn504CkjtfbYIwBquWmBw'),2.25
('0QREkWHGO8-Z_70qx1BIWw', 'KHjroLTG6Ah8LyItTyB2yw'),2.0
('0QREkWHGO8-Z_70qx1BIWw', 'tAcY4S3vIuNlAoRlCcz5VA'),2.0
('98rLDXbloLXekGjieuQSlA', 'QYKexxaOJQlseGWmc6soRg'),2.0
('B7IvZ26ZUdL2jGbYsFVGxQ', 'jnn504CkjtfbYIwBquWmBw'),2.0
('HLY9oDcVBH9D25lU4X_V5Q', 'Hv_q_ZnSIoZwdcoH0CyV2Q'),2.0
('MJ0Wphhko2-LbJ0uZ5XyQA', 'QYKexxaOJQlseGWmc6soRg'),2.0
('XrRLaAeV20MRwdSIGjj2SQ', 'BDmxm7aeWFOLT35gSvkmig'),2.0
('Gua5GdTlTWJpovtG7Hdtyg', 'YA-caxALI4C-eCiSM97new'),1.75
('6xi9tBoZ6r_v41u_XFsSnA', 'XrRLaAeV20MRwdSIGjj2SQ'),1.5
('XrRLaAeV20MRwdSIGjj2SQ', '2GUjO7NU88cPXpoffYCU8w'),1.5
('oegRUjhGbP62M18WyAL6pQ', '4ZQq0ozRs-gXSz1z55iIDw'),1.3333333333333333
('Gua5GdTlTWJpovtG7Hdtyg', 'B7IvZ26ZUdL2jGbYsFVGxQ'),1.25
('23y0Nv9FFWn_3UWudpnFMA', 'eqWEgMH-DCP74i82BEAZzw'),1.0
('3Vd_ATdvvuVVgn_YCpz8fw', 'jSbXY_rno4hYHQCFftsWXg'),1.0
('6xi9tBoZ6r_v41u_XFsSnA', '2GUjO7NU88cPXpoffYCU8w'),1.0
('9SWtEX1k9AjRg93BAzMCpg', 'tcWnoX_IfuDmlDl6o6y3_g'),1.0
('BE4fE4R3TaVn8xy4sYYjbg', '9SWtEX1k9AjRg93BAzMCpg'),1.0
('BE4fE4R3TaVn8xy4sYYjbg', 'tcWnoX_IfuDmlDl6o6y3_g'),1.0
('DgfsJqg_gozVgaeZ5vjllA', '9SWtEX1k9AjRg93BAzMCpg'),1.0
('DgfsJqg_gozVgaeZ5vjllA', 'BE4fE4R3TaVn8xy4sYYjbg'),1.0
('DgfsJqg_gozVgaeZ5vjllA', 'tcWnoX_IfuDmlDl6o6y3_g'),1.0
('EI9ijI9Wh66LrVW-GmWkOg', '9SWtEX1k9AjRg93BAzMCpg'),1.0
('EI9ijI9Wh66LrVW-GmWkOg', 'BE4fE4R3TaVn8xy4sYYjbg'),1.0
('EI9ijI9Wh66LrVW-GmWkOg', 'DgfsJqg_gozVgaeZ5vjllA'),1.0
('EI9ijI9Wh66LrVW-GmWkOg', 'FyQrUamokaPLDrBxGmzPnA'),1.0
('EI9ijI9Wh66LrVW-GmWkOg', 'LKP0Yq9T7Ss6oiDZnVtQwQ'),1.0
('EI9ijI9Wh66LrVW-GmWkOg', 'Nf_Jw_W_CwOz5WJ7ApSMxg'),1.0
('EI9ijI9Wh66LrVW-GmWkOg', 'WXlxViTwXHPBvhioljN9PQ'),1.0
('EI9ijI9Wh66LrVW-GmWkOg', 'ZXyGw3Z1DyhK1sfNtpcyYA'),1.0
('EI9ijI9Wh66LrVW-GmWkOg', 'ae7zi8F0B6l_JCITh1mXDg'),1.0
('EI9ijI9Wh66LrVW-GmWkOg', 'k58KNO8Rya-q8njKq8-uBQ'),1.0
('EI9ijI9Wh66LrVW-GmWkOg', 'tcWnoX_IfuDmlDl6o6y3_g'),1.0
('F47atsRPw-KHmRVk5exBFw', 'JeOHA8tW7gr-FDYOcPJoeA'),1.0
('FyQrUamokaPLDrBxGmzPnA', '9SWtEX1k9AjRg93BAzMCpg'),1.0
('FyQrUamokaPLDrBxGmzPnA', 'BE4fE4R3TaVn8xy4sYYjbg'),1.0
('FyQrUamokaPLDrBxGmzPnA', 'DgfsJqg_gozVgaeZ5vjllA'),1.0
('FyQrUamokaPLDrBxGmzPnA', 'LKP0Yq9T7Ss6oiDZnVtQwQ'),1.0
('FyQrUamokaPLDrBxGmzPnA', 'Nf_Jw_W_CwOz5WJ7ApSMxg'),1.0
('FyQrUamokaPLDrBxGmzPnA', 'WXlxViTwXHPBvhioljN9PQ'),1.0
('FyQrUamokaPLDrBxGmzPnA', 'tcWnoX_IfuDmlDl6o6y3_g'),1.0
('KHjroLTG6Ah8LyItTyB2yw', 'tAcY4S3vIuNlAoRlCcz5VA'),1.0
('LKP0Yq9T7Ss6oiDZnVtQwQ', '9SWtEX1k9AjRg93BAzMCpg'),1.0
('LKP0Yq9T7Ss6oiDZnVtQwQ', 'BE4fE4R3TaVn8xy4sYYjbg'),1.0
('LKP0Yq9T7Ss6oiDZnVtQwQ', 'DgfsJqg_gozVgaeZ5vjllA'),1.0
('LKP0Yq9T7Ss6oiDZnVtQwQ', 'tcWnoX_IfuDmlDl6o6y3_g'),1.0
('LaiylSIbrA3aPvOYtl-J4A', 'ZEq0WtRJD9Bl_vYgCsbfOg'),1.0
('Nf_Jw_W_CwOz5WJ7ApSMxg', '9SWtEX1k9AjRg93BAzMCpg'),1.0
('Nf_Jw_W_CwOz5WJ7ApSMxg', 'BE4fE4R3TaVn8xy4sYYjbg'),1.0
('Nf_Jw_W_CwOz5WJ7ApSMxg', 'DgfsJqg_gozVgaeZ5vjllA'),1.0
('Nf_Jw_W_CwOz5WJ7ApSMxg', 'LKP0Yq9T7Ss6oiDZnVtQwQ'),1.0
('Nf_Jw_W_CwOz5WJ7ApSMxg', 'tcWnoX_IfuDmlDl6o6y3_g'),1.0
('SVC0CajvmYfH5uAq4JnGvg', 'ZZvfGGLnAkSBSUduV7KN-w'),1.0
('UmTMCfPlhA6kJLAsLycSfg', '9W73B44Iw8WslrTNB2CdCg'),1.0
('WXlxViTwXHPBvhioljN9PQ', '9SWtEX1k9AjRg93BAzMCpg'),1.0
('WXlxViTwXHPBvhioljN9PQ', 'BE4fE4R3TaVn8xy4sYYjbg'),1.0
('WXlxViTwXHPBvhioljN9PQ', 'DgfsJqg_gozVgaeZ5vjllA'),1.0
('WXlxViTwXHPBvhioljN9PQ', 'LKP0Yq9T7Ss6oiDZnVtQwQ'),1.0
('WXlxViTwXHPBvhioljN9PQ', 'Nf_Jw_W_CwOz5WJ7ApSMxg'),1.0
('WXlxViTwXHPBvhioljN9PQ', 'tcWnoX_IfuDmlDl6o6y3_g'),1.0
('YVQFzWm0H72mLUh-8gzd5w', '46HhzhpBfTdTSB5ceTx_Og'),1.0
('Z9a1tDT8fVI75qXYwNhPpw', 'Ih85YhFRDzOnB09yS__94g'),1.0
('ZXyGw3Z1DyhK1sfNtpcyYA', '9SWtEX1k9AjRg93BAzMCpg'),1.0
('ZXyGw3Z1DyhK1sfNtpcyYA', 'BE4fE4R3TaVn8xy4sYYjbg'),1.0
('ZXyGw3Z1DyhK1sfNtpcyYA', 'DgfsJqg_gozVgaeZ5vjllA'),1.0
('ZXyGw3Z1DyhK1sfNtpcyYA', 'FyQrUamokaPLDrBxGmzPnA'),1.0
('ZXyGw3Z1DyhK1sfNtpcyYA', 'LKP0Yq9T7Ss6oiDZnVtQwQ'),1.0
('ZXyGw3Z1DyhK1sfNtpcyYA', 'Nf_Jw_W_CwOz5WJ7ApSMxg'),1.0
('ZXyGw3Z1DyhK1sfNtpcyYA', 'WXlxViTwXHPBvhioljN9PQ'),1.0
('ZXyGw3Z1DyhK1sfNtpcyYA', 'ae7zi8F0B6l_JCITh1mXDg'),1.0
('ZXyGw3Z1DyhK1sfNtpcyYA', 'k58KNO8Rya-q8njKq8-uBQ'),1.0
('ZXyGw3Z1DyhK1sfNtpcyYA', 'tcWnoX_IfuDmlDl6o6y3_g'),1.0
('ae7zi8F0B6l_JCITh1mXDg', '9SWtEX1k9AjRg93BAzMCpg'),1.0
('ae7zi8F0B6l_JCITh1mXDg', 'BE4fE4R3TaVn8xy4sYYjbg'),1.0
('ae7zi8F0B6l_JCITh1mXDg', 'DgfsJqg_gozVgaeZ5vjllA'),1.0
('ae7zi8F0B6l_JCITh1mXDg', 'FyQrUamokaPLDrBxGmzPnA'),1.0
('ae7zi8F0B6l_JCITh1mXDg', 'LKP0Yq9T7Ss6oiDZnVtQwQ'),1.0
('ae7zi8F0B6l_JCITh1mXDg', 'Nf_Jw_W_CwOz5WJ7ApSMxg'),1.0
('ae7zi8F0B6l_JCITh1mXDg', 'WXlxViTwXHPBvhioljN9PQ'),1.0
('ae7zi8F0B6l_JCITh1mXDg', 'tcWnoX_IfuDmlDl6o6y3_g'),1.0
('angEr2YcXmCl20s8WQu32w', '6YmRpoIuiq8I19Q8dHKTHw'),1.0
('d5WLqmTMvmL7-RmUDVKqqQ', 'Si3aMsOVGSVlsc54iuiPwA'),1.0
('frQs7y5qa-X1pvAM0sJe1w', '6YmRpoIuiq8I19Q8dHKTHw'),1.0
('frQs7y5qa-X1pvAM0sJe1w', 'angEr2YcXmCl20s8WQu32w'),1.0
('gH0dJQhyKUOVCKQA6sqAnw', '453V8MlGr8y61PpsDAFjKQ'),1.0
('h-ajC_UHD0QAyAzySN6g2A', '9SWtEX1k9AjRg93BAzMCpg'),1.0
('h-ajC_UHD0QAyAzySN6g2A', 'BE4fE4R3TaVn8xy4sYYjbg'),1.0
('h-ajC_UHD0QAyAzySN6g2A', 'DgfsJqg_gozVgaeZ5vjllA'),1.0
('h-ajC_UHD0QAyAzySN6g2A', 'EI9ijI9Wh66LrVW-GmWkOg'),1.0
('h-ajC_UHD0QAyAzySN6g2A', 'FyQrUamokaPLDrBxGmzPnA'),1.0
('h-ajC_UHD0QAyAzySN6g2A', 'LKP0Yq9T7Ss6oiDZnVtQwQ'),1.0
('h-ajC_UHD0QAyAzySN6g2A', 'Nf_Jw_W_CwOz5WJ7ApSMxg'),1.0
('h-ajC_UHD0QAyAzySN6g2A', 'WXlxViTwXHPBvhioljN9PQ'),1.0
('h-ajC_UHD0QAyAzySN6g2A', 'ZXyGw3Z1DyhK1sfNtpcyYA'),1.0
('h-ajC_UHD0QAyAzySN6g2A', 'ae7zi8F0B6l_JCITh1mXDg'),1.0
('h-ajC_UHD0QAyAzySN6g2A', 'k58KNO8Rya-q8njKq8-uBQ'),1.0
('h-ajC_UHD0QAyAzySN6g2A', 'tcWnoX_IfuDmlDl6o6y3_g'),1.0
('jJDUCuPwVqwjbth3s92whA', 'gUu0uaiU7UEUVIgCdnqPVQ'),1.0
('k58KNO8Rya-q8njKq8-uBQ', '9SWtEX1k9AjRg93BAzMCpg'),1.0
('k58KNO8Rya-q8njKq8-uBQ', 'BE4fE4R3TaVn8xy4sYYjbg'),1.0
('k58KNO8Rya-q8njKq8-uBQ', 'DgfsJqg_gozVgaeZ5vjllA'),1.0
('k58KNO8Rya-q8njKq8-uBQ', 'FyQrUamokaPLDrBxGmzPnA'),1.0
('k58KNO8Rya-q8njKq8-uBQ', 'LKP0Yq9T7Ss6oiDZnVtQwQ'),1.0
('k58KNO8Rya-q8njKq8-uBQ', 'Nf_Jw_W_CwOz5WJ7ApSMxg'),1.0
('k58KNO8Rya-q8njKq8-uBQ', 'WXlxViTwXHPBvhioljN9PQ'),1.0
('k58KNO8Rya-q8njKq8-uBQ', 'ae7zi8F0B6l_JCITh1mXDg'),1.0
('k58KNO8Rya-q8njKq8-uBQ', 'tcWnoX_IfuDmlDl6o6y3_g'),1.0
('mm9WYrFhiNqvHCyhQKw3Mg', 'S1cjSFKcS5NVc3o1MkfpwA'),1.0
('vENR70IrUsDNTDebbuxyQA', '_m1ot2zZetDgjerAD2Sidg'),1.0
